restuarant_name,number_of_reviews,food_overall_rating,service_overall_rating,ambiance_overall_rating,overall_rating,noise_level,one_star_percent,two_star_percent,three_star_percent,four_star_percent,five_star_percent,loved_for_array,filters_array
"Wintheiser, Keebler and Will",113,0.10,2.91,0.76,1.99,energetic,0.025259498315594518,0.09674171908098038,0.22702609391210626,0.2458755407752195,0.4000935748941461,"{false,true,false,false}","{false,false,false,true}"
Cole - Stracke,225,0.23,3.04,0.73,1.79,quiet,0.005090328802346089,0.01652410192516781,0.3480358648033404,0.46850146885621774,0.13753496753357752,"{true,false,true,false}","{true,false,true,false}"
Hegmann - Brown,362,0.89,2.22,3.21,3.00,do not recall,0.008063377244643089,0.015837884656204244,0.4315601621461836,0.42424995375697877,0.11177436899292337,"{true,true,false,false}","{true,false,true,false}"
Howe - Murphy,185,2.48,3.45,4.23,1.08,moderate,0.00008224503954798854,0.007741093008130461,0.010305354907525986,0.026944980726260788,0.9549073655036626,"{true,false,true,false}","{true,false,true,false}"
Buckridge - Grant,341,0.24,3.14,4.57,2.55,moderate,0.012844632143558613,0.05511481120330839,0.012269241444171991,0.4704918452489097,0.43701595910711455,"{false,true,false,true}","{false,true,true,false}"
"Becker, Deckow and Smith",113,4.69,2.34,3.54,1.14,moderate,0.029458848946129962,0.042059103564814376,0.295846677774243,0.27584236244068455,0.29057500397598046,"{true,true,false,false}","{false,true,true,true}"
"Stracke, Pouros and Haag",244,4.51,1.47,1.28,4.59,energetic,0.0014447121616383402,0.0019405288661819052,0.048279738087236304,0.10064710783454933,0.8471423863542538,"{false,false,true,false}","{false,true,true,false}"
McDermott LLC,44,0.14,3.26,1.75,2.23,moderate,0.015697419907065625,0.0860577008279598,0.11881017883803566,0.3742767505270504,0.40096365798854805,"{true,true,false,false}","{true,false,false,true}"
Cronin - Conroy,289,0.42,3.74,3.66,2.12,do not recall,0.009342752179016287,0.11545661143718304,0.08103803207796172,0.009402570405413396,0.7679961258905379,"{false,false,false,true}","{true,true,true,false}"
Moen Inc,361,2.93,0.54,0.24,3.37,energetic,0.0293955462250318,0.09192758874019744,0.21390033478391388,0.1965439760100813,0.40707849179511135,"{true,true,true,true}","{false,false,false,true}"
Christiansen - Pollich,105,3.51,2.99,1.48,3.08,moderate,0.00827236725706749,0.003436524471706944,0.03397968680478497,0.2973113644478803,0.6535661802055939,"{true,true,false,true}","{false,false,true,true}"
Brakus - Feest,114,0.69,4.67,1.34,1.86,quiet,0.0004141939206796723,0.006687445331982742,0.00334012618487133,0.4978263107892695,0.48860454229305295,"{true,false,true,false}","{true,false,true,false}"
Rempel - Runte,194,4.34,3.97,1.30,3.32,moderate,0.00032624132051834614,0.0005801671516528255,0.15799818681882402,0.07063441172239204,0.7661794885853821,"{true,false,true,false}","{false,false,false,false}"
Weimann LLC,41,0.35,1.01,4.70,3.63,do not recall,0.0007704031088977023,0.00026684628818840017,0.011269549090897894,0.0026966891210702024,0.9849577237933047,"{false,false,false,false}","{false,true,false,false}"
"Turner, Pouros and Lockman",338,0.50,0.91,1.80,0.73,moderate,0.006256107682724689,0.10132431906451851,0.3109433288989722,0.18751098223678597,0.34023198851102787,"{true,false,true,true}","{false,false,false,false}"
Effertz Group,73,4.38,1.48,2.55,2.59,quiet,0.000904093544789955,0.003234355420841405,0.15653810290165007,0.31194122328669976,0.5240271303454174,"{false,false,false,true}","{false,true,true,false}"
Schowalter Group,379,0.44,0.60,2.44,1.50,moderate,0.0003456864829349493,0.0051829081792570736,0.009206442356914231,0.051490590490234925,0.9333860785046304,"{false,true,false,true}","{true,false,true,false}"
Cummerata LLC,102,1.09,3.01,2.70,2.15,do not recall,0.005858004367295089,0.012818965805769736,0.5611110912699157,0.09388144036029063,0.31401144708727835,"{true,false,false,true}","{true,true,true,false}"
Fritsch and Sons,43,0.50,3.20,4.91,3.99,quiet,0.03172237160877018,0.09820151078221827,0.15380257390714805,0.17578766632728157,0.40429991155126643,"{true,true,false,false}","{false,true,false,false}"
Homenick - Abernathy,148,3.82,1.96,2.79,0.63,quiet,0.06937667479641633,0.0236056862797214,0.2663011341026516,0.02361463439705034,0.6168049069408506,"{true,false,false,false}","{true,true,true,false}"
"Hettinger, Moen and Farrell",72,0.73,1.26,4.57,2.98,do not recall,0.0028498827081014375,0.00009329901661252925,0.0166172988816796,0.009425995348665306,0.9706959067095284,"{true,false,false,false}","{false,true,true,false}"
"Balistreri, Heathcote and Runolfsson",149,3.72,0.74,1.14,1.72,moderate,0.0996991597738663,0.023464555873983252,0.2284547463096211,0.024579748166798632,0.5921577155772935,"{false,false,false,true}","{false,false,false,true}"
"Pfeffer, Runolfsson and Ullrich",381,0.72,0.02,4.46,3.71,energetic,0.004344105033531056,0.0010754832858353804,0.030707119159828697,0.6279888473520174,0.333075025685857,"{true,false,false,false}","{true,true,true,true}"
"McGlynn, McCullough and Schuster",149,1.43,4.61,1.61,4.41,moderate,0.12165314813489392,0.08248441940089486,0.1417995094351624,0.408348432382266,0.16321626293311398,"{true,true,true,false}","{false,false,false,false}"
Kshlerin - Rowe,24,0.87,2.45,2.59,2.23,moderate,0.00002635973405998174,0.0038797840728692265,0.0022376134967806616,0.001575442992304632,0.9922793285924851,"{true,false,false,false}","{true,true,true,false}"
"Nikolaus, Schmitt and Collier",343,2.73,3.62,0.45,3.37,quiet,0.1900131693626983,0.017137279021361664,0.049444889265240134,0.2943370643532969,0.4391314919293998,"{true,true,true,false}","{false,false,true,false}"
"Kihn, Stroman and Reinger",352,0.55,4.83,4.26,4.70,energetic,0.03184405072614069,0.5230487578036658,0.15849633845674668,0.045426878192080744,0.21541501057355772,"{true,false,true,false}","{false,false,false,false}"
Brakus Inc,298,0.28,3.32,2.40,2.72,quiet,0.0013556142339090388,0.0519634289779205,0.17905688324853686,0.6828181683201358,0.08392324139741181,"{true,false,true,true}","{true,true,true,true}"
Skiles - Boyer,67,1.17,0.13,2.46,0.13,do not recall,0.019368220749939255,0.04637982478082089,0.6335667831781983,0.032372957311893054,0.12517420592533468,"{true,true,true,true}","{false,true,false,false}"
"Aufderhar, McDermott and Daugherty",345,1.52,3.95,0.61,4.90,quiet,0.0017906687422124526,0.015729076224153888,0.0005134929328579522,0.0926434980172847,0.8869384861086078,"{false,false,false,false}","{false,true,true,false}"
Beer - Baumbach,349,2.89,4.21,4.90,0.33,quiet,0.003102500969400511,0.0434838437783735,0.233116113966195,0.0033306655393795766,0.7136405317889283,"{true,false,false,false}","{true,false,true,false}"
"Wiza, Green and Hammes",44,4.35,2.82,0.16,0.23,moderate,0.00010653951808703999,0.0004571832057690849,0.015731942958849002,0.7454853659026415,0.236536858205882,"{false,false,false,true}","{false,true,true,true}"
Nitzsche - Little,23,1.11,1.12,4.63,0.57,energetic,0.001765958422606355,0.18485149471100462,0.20640837603081794,0.14144524248644855,0.45613199395173365,"{true,false,true,true}","{true,false,true,true}"
Beer and Sons,82,2.81,4.70,2.54,4.01,moderate,0.01525624769096271,0.007034529608058056,0.15167244528982707,0.12080324169302355,0.7009816151873931,"{true,false,true,true}","{true,true,false,false}"
Mertz Group,207,0.16,0.45,0.43,1.92,energetic,0.0012456406505875974,0.0014267531814803206,0.002027744877915816,0.4288809113877004,0.5602150907894752,"{false,false,true,true}","{true,false,false,true}"
Mills LLC,360,2.94,4.50,1.93,4.11,quiet,0.0009479112908426928,0.0006243446873228389,0.017760422089044846,0.2987052377867975,0.6815906671519554,"{false,true,true,true}","{true,true,false,false}"
Gislason LLC,110,0.95,3.31,3.58,4.53,do not recall,0.007952737298761017,0.003848349696146509,0.024377792305956537,0.38335915174512136,0.5777818649873923,"{false,true,true,true}","{false,true,true,false}"
"Armstrong, Adams and Schuppe",349,4.65,0.12,0.81,4.31,quiet,0.024084397216684362,0.0994363998434725,0.0745378720623502,0.4045167180983489,0.39274497041091183,"{true,true,true,true}","{true,true,true,false}"
"Conroy, Jakubowski and Vandervort",188,3.07,0.93,4.03,1.12,do not recall,0.00197868809935263,0.007577361394345069,0.005332973108592638,0.058590269877779155,0.9141516488853845,"{false,false,false,true}","{false,true,true,true}"
Baumbach - Renner,21,3.34,0.97,0.43,1.30,energetic,0.006343384719897125,0.02391870525648849,0.10979302330918249,0.5916128103191183,0.2435004071705822,"{true,false,true,false}","{false,true,true,false}"
Trantow and Sons,373,2.00,0.89,4.61,2.70,quiet,0.005445343486385996,0.007441649438311236,0.0013886352230678824,0.04425660931619328,0.940838007381551,"{true,false,false,false}","{true,true,false,false}"
Bergstrom - Quigley,7,2.83,2.48,2.86,2.46,quiet,0.011141502043473148,0.0020149692656160536,0.33583954707183533,0.4036547051396905,0.23811796123588924,"{false,false,false,true}","{true,false,true,false}"
"Altenwerth, Hegmann and VonRueden",127,2.20,4.80,2.57,4.76,quiet,0.0006080085904880671,0.0009823797725533217,0.044606343994289824,0.007641543322557961,0.9442069184416715,"{false,true,false,false}","{false,false,true,true}"
"Osinski, Gusikowski and Rippin",186,2.59,1.71,4.66,3.49,moderate,0.02736625278056444,0.03247841455600077,0.15333105534399202,0.08391411529495263,0.6515892104632197,"{false,false,false,true}","{false,false,false,false}"
"Tremblay, Boehm and Erdman",149,4.08,0.12,0.41,0.81,do not recall,0.0006692917483240588,0.226238476649747,0.29376893740302534,0.13284472089610894,0.3452309977546075,"{false,false,false,true}","{false,true,false,false}"
Wunsch - Goldner,109,0.04,4.68,2.49,4.51,do not recall,0.0579003127496401,0.2237488090026063,0.20217612477253818,0.048773890948801614,0.4458198094034116,"{true,false,false,true}","{false,false,false,false}"
"Grady, Satterfield and Larkin",146,2.51,0.93,0.80,2.47,moderate,0.004411386467280166,0.00008319296497546564,0.14438616233156432,0.1680532737884265,0.6704004813478797,"{true,true,true,true}","{false,false,true,true}"
Deckow Group,50,2.11,2.75,2.61,4.04,quiet,0.002426549842514606,0.05666940437164637,0.023765152407608712,0.5166985514946147,0.39486440631931696,"{false,true,false,true}","{true,true,true,true}"
"Greenfelder, Borer and Robel",385,4.55,1.24,1.76,1.74,energetic,0.00019974303918443714,0.00020314974631314541,0.0031129033436522835,0.012423775290435396,0.9836232119790018,"{false,false,true,false}","{true,false,false,false}"
"Cronin, Morar and Ryan",372,1.56,4.41,3.32,3.14,moderate,0.0044542092533677476,0.01889307949436265,0.0010822988535918508,0.08525431690083145,0.889388601012608,"{true,true,true,false}","{false,true,true,true}"
"McGlynn, Kemmer and O'Connell",309,0.71,2.26,2.78,0.72,do not recall,0.008734458509255725,0.11630723017651731,0.07184578411050123,0.20585628348635382,0.5143378309596782,"{true,false,true,true}","{false,true,false,true}"
Gottlieb LLC,9,3.30,2.58,2.85,1.68,do not recall,0.05977645251794647,0.3804152224696961,0.040715558297657356,0.15472481285433423,0.3100681600642714,"{true,true,true,true}","{false,true,false,true}"
"Kuhn, Yundt and Marvin",72,4.69,3.19,4.12,1.92,do not recall,0.013328733896428873,0.1639943111030724,0.28422721270986206,0.40705911509824066,0.13124512717314674,"{true,false,false,true}","{false,true,false,false}"
Ullrich - Morar,262,2.78,3.62,0.91,3.51,energetic,0.035047345430357056,0.01890392270567266,0.2228410519891109,0.3401913918184273,0.3629425305415599,"{false,true,false,true}","{false,true,true,true}"
Stanton - Larson,222,0.31,2.19,1.92,2.68,quiet,0.014253752676129165,0.006247982954901012,0.03492628514423161,0.1846324822679351,0.7408548592951676,"{false,true,true,false}","{false,false,false,false}"
Reynolds and Sons,16,1.54,4.55,2.78,0.08,do not recall,0.07163918477224583,0.45458859895163395,0.12031573876389695,0.06118394598628136,0.2880014882517645,"{true,false,false,false}","{false,false,false,false}"
Jakubowski LLC,347,1.62,0.65,0.79,1.88,quiet,0.09541615599566629,0.02149009269179786,0.03075636938239417,0.25033637013595383,0.36016743414734176,"{false,true,true,true}","{true,false,true,false}"
Kulas Inc,291,3.84,2.13,2.05,2.30,quiet,0.008118133588958765,0.15962978817975482,0.11987262899962593,0.5235076915620892,0.14393543233293915,"{false,true,false,false}","{true,false,false,true}"
"Bosco, Crona and Hansen",33,0.57,4.13,3.43,2.84,moderate,0.0011615109365867562,0.00011889816758882152,0.00007490719774084168,0.6052419450364764,0.3930385484471084,"{true,true,false,true}","{true,false,false,false}"
"Leannon, Jacobs and Nienow",262,1.09,2.85,1.22,4.18,do not recall,0.024087298552758114,0.0037263988918746793,0.11276175984461988,0.6068756836538003,0.2516165529678429,"{true,false,false,false}","{false,true,false,true}"
Kerluke - Lynch,31,4.44,3.89,3.48,3.18,do not recall,0.008626728067582684,0.05650540385830335,0.03300939800140178,0.010540024622553754,0.8853293394228898,"{false,true,false,true}","{true,false,false,false}"
McGlynn - Zieme,132,4.73,1.07,0.32,1.87,moderate,0.0025810503901806687,0.01635508735605405,0.13652773034369986,0.5118406699311518,0.27307973683053266,"{false,true,true,false}","{true,false,false,false}"
"Trantow, Cole and Buckridge",63,2.32,2.28,2.46,3.23,energetic,0.003514686311705597,0.2523002558392609,0.04419871949244584,0.43995391720856614,0.13679691842956032,"{false,false,false,false}","{true,false,true,true}"
Funk - Bartoletti,160,1.37,2.03,0.67,2.76,quiet,0.00000386521414561943,0.000020972195648111483,0.0031257696303390197,0.18569072700259884,0.8110712611041777,"{false,true,false,false}","{false,false,false,false}"
Jacobi Group,230,2.61,2.18,0.19,3.49,energetic,0.004801285783275858,0.010753713008628719,0.015888586139610656,0.8878012178488562,0.07544725144774556,"{true,false,false,false}","{true,false,true,false}"
"Volkman, Orn and Gutmann",123,0.17,3.23,1.49,2.11,quiet,0.005360260249919746,0.3049135124934441,0.21317495522445493,0.2679578057719026,0.15087139834515728,"{false,true,false,true}","{false,false,false,false}"
Feeney LLC,148,4.73,2.89,1.92,4.38,moderate,0.0017195114240826327,0.0042796505887928975,0.2336316394278549,0.4353049394952902,0.3248204141439397,"{true,false,false,false}","{false,false,false,true}"
Kuphal Group,124,4.93,2.79,1.21,3.55,quiet,0.09859808219053068,0.08563099502425492,0.0821815641500655,0.5618991485203664,0.056909536350238765,"{true,false,false,true}","{true,true,false,true}"
Luettgen Group,379,3.95,0.69,2.64,1.00,energetic,0.0018133219844375644,0.0019453626836849578,0.006347288242039564,0.6691514508466447,0.32065131855352824,"{false,true,true,true}","{false,false,false,false}"
Mertz Inc,372,4.43,3.41,0.40,0.06,quiet,0.10163188969356336,0.021548592355866248,0.6316011099903676,0.11160593053899077,0.006385674021385013,"{false,false,false,true}","{false,false,false,true}"
"Reinger, Casper and Nolan",12,0.42,2.49,1.18,0.74,moderate,0.00041015818101662507,0.00041621953154641957,0.0030693421658732,0.03410574420378236,0.9616627773498849,"{true,true,false,false}","{false,false,false,true}"
Reichel LLC,364,0.68,3.42,1.88,0.75,energetic,0.00024264197665762281,0.00039010952729651675,0.007364959672111014,0.47458930134891186,0.5172921770146592,"{false,true,false,false}","{false,false,false,true}"
Jacobs and Sons,302,3.08,0.91,2.80,2.88,do not recall,0.12056474759845173,0.022041738949440084,0.1507736342301164,0.19033292810784033,0.49112185999876545,"{false,false,true,false}","{false,true,false,true}"
Abshire - Donnelly,231,0.63,4.67,4.10,4.95,energetic,0.008588894306205304,0.12272049175454276,0.03207175207516129,0.6319031247427255,0.1960792966530871,"{false,false,true,true}","{true,true,false,true}"
"Larkin, Dooley and Toy",293,3.12,2.14,4.33,2.83,do not recall,0.08129605865251856,0.020544242004476566,0.5343410122145472,0.14166067816489458,0.12951522676272975,"{true,true,false,false}","{false,true,true,false}"
Purdy Inc,163,0.57,2.05,2.24,4.50,energetic,0.18940988887849544,0.16370362725225812,0.004547590761869525,0.5588001035556328,0.0681751142501501,"{false,true,false,false}","{true,false,true,false}"
Dickens and Sons,228,3.06,4.31,1.62,1.76,energetic,0.18147453379669842,0.08427672350826694,0.10997737033864302,0.17485612587873514,0.3265625313978653,"{false,true,false,true}","{true,true,false,true}"
"Haag, West and Grady",227,4.14,0.99,3.81,0.92,moderate,0.17951796987578686,0.03272274980361569,0.09616558505591231,0.07469277125095274,0.5760683301993774,"{true,true,true,false}","{true,true,true,true}"
Casper - Kerluke,18,0.39,1.27,3.16,2.73,do not recall,0.0017058899692864557,0.0034630047208939717,0.028499110115528133,0.4574827501024254,0.5061301542191072,"{true,true,true,false}","{true,false,false,false}"
Feeney - Keeling,286,2.64,3.26,4.08,1.21,moderate,0.005397243567161506,0.013724575133654575,0.23184735639872595,0.011267129097385977,0.7345593585594656,"{true,false,false,true}","{false,false,true,true}"
"Heaney, Heller and Kub",118,3.31,1.03,1.96,1.48,quiet,0.0021094160050334704,0.009437155612884184,0.02414969907022267,0.41018246439086625,0.5494975591216931,"{false,true,true,false}","{false,true,true,true}"
Gottlieb - Kovacek,238,2.66,3.47,3.40,2.88,do not recall,0.0018401822509644082,0.004968857550866649,0.10071414310584317,0.38741767188351023,0.4983977862073874,"{true,true,false,false}","{true,true,true,true}"
Ryan Inc,256,0.42,0.94,1.30,1.09,moderate,0.0021383655183856527,0.10226484116466046,0.011363385446186255,0.5344279283415728,0.3379268283518069,"{false,false,true,true}","{false,false,true,true}"
Kling - Bechtelar,22,0.70,1.42,1.41,4.67,moderate,0.00037849274484376806,0.019050483486113327,0.0021475622374735794,0.0766066591438548,0.8999022885514876,"{false,false,false,true}","{true,true,false,false}"
"Macejkovic, Hickle and Tremblay",290,3.74,2.57,3.19,4.44,do not recall,0.0005061729805921427,0.04566863693631829,0.286386534248696,0.08640836735946485,0.5809018475519354,"{true,true,false,true}","{true,true,true,true}"
Auer - Reilly,72,0.61,0.87,0.77,0.79,energetic,0.01585607307328214,0.023606627972284237,0.1883622628904027,0.3025392818539523,0.46344013508674387,"{false,true,true,true}","{false,false,false,true}"
Veum Group,61,2.42,2.45,0.81,2.89,moderate,0.01763711021406184,0.2607068818878614,0.667638515108968,0.028405478011517913,0.019813555395606697,"{true,false,false,true}","{true,true,true,false}"
Lang Group,48,0.96,3.46,2.77,3.66,quiet,0.010403758321767103,0.015616071785943372,0.02935466011641068,0.07279870055320017,0.8672154806054835,"{false,false,true,true}","{true,true,false,false}"
Jacobs - Hegmann,198,4.47,4.15,1.33,4.63,quiet,0.0294846199561826,0.006116543576446105,0.09177279720361804,0.6558038976774813,0.19255335245584915,"{false,false,true,true}","{false,true,false,true}"
"Gulgowski, Wunsch and Daniel",213,4.13,3.33,1.09,1.62,quiet,0.001337178358395915,0.025430302495805215,0.020645975935978916,0.227898816207873,0.7208592429928302,"{false,false,false,true}","{false,false,false,true}"
Kling - Johns,55,3.87,1.09,4.77,0.78,moderate,0.0016060114670706975,0.0067636556945684006,0.05574694039074676,0.03450565470534969,0.9007171050078506,"{false,true,false,true}","{true,true,false,false}"
"Morar, Tremblay and Romaguera",42,2.87,3.92,0.27,3.64,moderate,0.013303390049785478,0.046270198366359476,0.10555960690659719,0.674450678408879,0.14338585331525322,"{true,true,true,true}","{false,true,false,false}"
"Watsica, Lueilwitz and Mitchell",85,1.86,3.77,2.56,4.94,energetic,0.00030903405290686294,0.0021464425212057697,0.011682203773230645,0.6800624405338346,0.30536769242456385,"{false,false,false,true}","{false,false,false,false}"
"Schamberger, Mante and O'Keefe",15,4.41,0.00,4.95,1.33,quiet,0.04246117531149444,0.009799055895572164,0.21449776524148423,0.4562559608910808,0.21512958160790818,"{false,false,true,false}","{true,true,false,true}"
"Maggio, Okuneva and Conroy",249,0.97,2.18,4.17,3.25,do not recall,0.10090964019408308,0.04510581850206865,0.02933831154656956,0.11500957525359505,0.7095251467465351,"{false,true,false,true}","{true,true,true,true}"
"Pfannerstill, Mann and Pfannerstill",327,4.13,2.96,2.72,3.36,moderate,0.0028223768454125296,0.03115149793493865,0.12404958271332561,0.06105354331197813,0.7798487640444067,"{true,true,false,true}","{true,true,false,true}"
"Schmitt, Tromp and Beer",328,3.81,3.75,2.66,1.74,energetic,0.0019453463675807856,0.040178181593143895,0.05665878269474847,0.38605710116773145,0.4889101219984553,"{false,false,true,false}","{true,true,false,false}"
"Corkery, Douglas and Hoppe",316,2.78,1.43,1.16,4.02,quiet,0.0006359939720851426,0.00019820406110449454,0.018081142729280644,0.07759985213756278,0.9027524508468849,"{false,false,true,true}","{false,true,false,false}"
"Murphy, Hermiston and Cronin",243,0.63,2.73,1.18,4.76,do not recall,0.14190293765231954,0.13862778366755335,0.046472884285687105,0.2723617881075433,0.14508018477625972,"{true,true,true,true}","{true,true,true,false}"
Muller - Orn,248,0.90,0.52,1.79,1.30,energetic,0.022493064928343732,0.02530730980797475,0.20558446349725162,0.10592917843257517,0.6406004657988495,"{true,false,true,true}","{false,false,false,false}"
Russel - Cronin,23,3.85,0.37,1.72,1.58,do not recall,0.0012974053406053078,0.24611938861819643,0.018404373944242405,0.06016279585453903,0.6650065997218297,"{false,true,true,false}","{false,true,false,false}"
Ferry and Sons,10,1.05,0.09,1.24,1.36,energetic,0.14386186453384137,0.02320053331876333,0.26023247026855517,0.303892708623669,0.25624275857581247,"{true,true,true,false}","{false,false,false,true}"
"Harris, Lehner and Volkman",143,2.68,3.82,1.43,2.46,energetic,0.002888298683534441,0.017792745089333116,0.13176860049615358,0.22971327700904468,0.6037679906769033,"{true,true,true,false}","{false,true,false,false}"
"Kuhic, Lindgren and Kertzmann",329,4.32,3.18,4.44,3.00,moderate,0.003487209294280894,0.021212369264756982,0.3100714421956222,0.6047300038015307,0.0460751802965762,"{false,true,false,true}","{true,false,false,true}"
